"","iso_ter","country","total_area","protected_area","percent_protected","pc_gdp_2016","ecosystem"
"104","BRA","Brazil","10889.8320636594","9402.37048693457",86.3408217130484,8812.503,"mangroves"
"105","BRB","Barbados","0.136871415779438","0",0,18704.689,"mangroves"
"106","BRN","Brunei Darussalam","113.324340580626","66.7180978889676",58.8735813922517,27321.997,"mangroves"
"107","CMR","Cameroon","1886.35864892368","1412.9636177698",74.9042934426075,1412.866,"mangroves"
"108","COL","Colombia","2286.66049426079","1067.076477774",46.6652780529608,6037.133,"mangroves"
"109","COM","Comoros","1.04065525060988","0.953654961566152",91.639854890201,1356.892,"mangroves"
"110","CRI","Costa Rica","361.864426855028","178.553419488889",49.3426284094021,11986.918,"mangroves"
"111","DJI","Djibouti","4.9221930213001","0",0,2803.689,"mangroves"
"112","DMA","Dominica","0.0169957272156196","0.0169957272156196",100,8089.25,"mangroves"
"113","DOM","Dominican Republic","188.147111527773","153.506080189053",81.5883267845935,7506.192,"mangroves"
"114","ECU","Ecuador","1379.93417855303","674.01216944049",48.8437912413506,5907.928,"mangroves"
"115","EGY","Egypt","0.983920030073875","0.478465445645617",48.6284892085887,3862.011,"mangroves"
"116","ERI","Eritrea","69.8810278047023","0",0,655.424,"mangroves"
"117","FJI","Fiji","508.850640320419","168.148449704335",33.0447554509223,5658.236,"mangroves"
"118","GAB","Gabon","1746.31123227894","916.042145590278",52.4558354008202,7082.218,"mangroves"
"119","GHA","Ghana","204.235078963438","101.060264489662",49.4823244873395,1912.48,"mangroves"
"120","GIN","Guinea","2209.43003995291","562.816026505302",25.4733581207802,679.964,"mangroves"
"121","GNB","Guinea-Bissau","2587.30349761381","965.481448838035",37.3161266054975,748.089,"mangroves"
"122","GNQ","Equatorial Guinea","256.59030490496","204.002873442966",79.5052928903638,9200,"mangroves"
"123","GRD","Grenada","1.13842574629655","0.335079473957372",29.4335818605148,9572.093,"mangroves"
"124","GTM","Guatemala","239.540960102206","111.332886710398",46.4775989304272,4172.065,"mangroves"
"125","GUY","Guyana","282.60847245255","146.454327517662",51.8223414346688,5796.819,"mangroves"
